territori,tipus_de_territori,any,atur
el turo de la peira,Barri,2013,1219.0
can peguera,Barri,2013,1720.0
la guineueta,Barri,2013,1421.0
canyelles,Barri,2013,6940.0
les roquetes,Barri,2013,1503.0
verdun,Barri,2013,1152.0
la prosperitat,Barri,2013,2217.0
la trinitat nova,Barri,2013,9590.0
torre baro,Barri,2013,2640.0
ciutat meridiana,Barri,2013,1378.0
vallbona,Barri,2013,1600.0
la trinitat vella,Barri,2013,1276.0
baro de viver,Barri,2013,1880.0
el bon pastor,Barri,2013,1067.0
sant andreu,Barri,2013,4322.0
la sagrera,Barri,2013,2061.0
el congres i els indians,Barri,2013,1004.0
navas,Barri,2013,1541.0
el camp de larpa del clot,Barri,2013,2889.0
el clot,Barri,2013,1981.0
el parc i la llacuna del poblenou,Barri,2013,9560.0
la vila olimpica del poblenou,Barri,2013,6180.0
el poblenou,Barri,2013,2134.0
diagonal mar i el front maritim del poblenou,Barri,2013,1016.0
el besos i el maresme,Barri,2013,2327.0
provencals del poblenou,Barri,2013,1551.0
sant marti de provencals,Barri,2013,2147.0
la verneda i la pau,Barri,2013,2428.0
no consta,Barri,2013,90.0
el raval,Barri,2014,4588.0
el barri gotic,Barri,2014,1222.0
la barceloneta,Barri,2014,1409.0
sant pere santa caterina i la ribera,Barri,2014,1956.0
el fort pienc,Barri,2014,1879.0
la sagrada familia,Barri,2014,3042.0
la dreta de leixample,Barri,2014,2015.0
lantiga esquerra de leixample,Barri,2014,2387.0
la nova esquerra de leixample,Barri,2014,3342.0
sant antoni,Barri,2014,2451.0
el poble sec,Barri,2014,3509.0
la marina del prat vermell,Barri,2014,1490.0
la marina de port,Barri,2014,2396.0
la font de la guatlla,Barri,2014,8780.0
hostafrancs,Barri,2014,1047.0
la bordeta,Barri,2014,1228.0
sants badal,Barri,2014,1384.0
sants,Barri,2014,2564.0
les corts,Barri,2014,2627.0
la maternitat i sant ramon,Barri,2014,1368.0
pedralbes,Barri,2014,3130.0
vallvidrera el tibidabo i les planes,Barri,2014,1280.0
sarria,Barri,2014,6740.0
les tres torres,Barri,2014,4980.0
