territori,tipus_de_territori,any,poblacio_total
el putxet i el farro,Barri,2003,28326
vallcarca i els penitents,Barri,2003,15173
el coll,Barri,2003,7019
la salut,Barri,2003,13185
la vila de gracia,Barri,2003,48990
el camp den grassot i gracia nova,Barri,2003,34823
el baix guinardo,Barri,2003,25512
can baro,Barri,2003,9072
el guinardo,Barri,2003,35306
la font den fargues,Barri,2003,9763
el carmel,Barri,2003,33101
la teixonera,Barri,2003,11955
sant genis dels agudells,Barri,2003,7215
montbau,Barri,2003,5343
la vall dhebron,Barri,2003,5685
la clota,Barri,2003,463
horta,Barri,2003,26731
vilapicina i la torre llobeta,Barri,2003,25867
porta,Barri,2003,23802
el turo de la peira,Barri,2003,14797
can peguera,Barri,2003,2125
la guineueta,Barri,2003,15970
canyelles,Barri,2003,8052
les roquetes,Barri,2003,15596
verdun,Barri,2003,12391
la prosperitat,Barri,2003,27192
la trinitat nova,Barri,2003,7795
torre baro,Barri,2003,2213
ciutat meridiana,Barri,2003,9890
vallbona,Barri,2003,897
la trinitat vella,Barri,2003,8892
baro de viver,Barri,2003,2382
el bon pastor,Barri,2003,10595
sant andreu,Barri,2003,54421
la sagrera,Barri,2003,28840
el congres i els indians,Barri,2003,13670
navas,Barri,2003,22089
el camp de larpa del clot,Barri,2003,38542
el clot,Barri,2003,26627
el parc i la llacuna del poblenou,Barri,2003,13159
la vila olimpica del poblenou,Barri,2003,7842
el poblenou,Barri,2003,27444
diagonal mar i el front maritim del poblenou,Barri,2003,7243
el besos i el maresme,Barri,2003,21623
provencals del poblenou,Barri,2003,17685
sant marti de provencals,Barri,2003,26930
la verneda i la pau,Barri,2003,30625
el raval,Barri,2004,46257
el barri gotic,Barri,2004,25089
la barceloneta,Barri,2004,15958
sant pere santa caterina i la ribera,Barri,2004,22582
el fort pienc,Barri,2004,30537
la sagrada familia,Barri,2004,52029
la dreta de leixample,Barri,2004,42147
lantiga esquerra de leixample,Barri,2004,41185
la nova esquerra de leixample,Barri,2004,58244
sant antoni,Barri,2004,37957
el poble sec,Barri,2004,38793
la marina del prat vermell,Barri,2004,1456
la marina de port,Barri,2004,28813
la font de la guatlla,Barri,2004,9929
hostafrancs,Barri,2004,15448
la bordeta,Barri,2004,18757
sants badal,Barri,2004,24313
sants,Barri,2004,39530
les corts,Barri,2004,46483
la maternitat i sant ramon,Barri,2004,24796
pedralbes,Barri,2004,11716
vallvidrera el tibidabo i les planes,Barri,2004,3671
sarria,Barri,2004,23062
les tres torres,Barri,2004,15201
sant gervasi la bonanova,Barri,2004,23540
sant gervasi galvany,Barri,2004,45819
el putxet i el farro,Barri,2004,28456
vallcarca i els penitents,Barri,2004,15381
el coll,Barri,2004,7142
la salut,Barri,2004,13182
la vila de gracia,Barri,2004,49256
el camp den grassot i gracia nova,Barri,2004,34878
el baix guinardo,Barri,2004,25480
can baro,Barri,2004,8963
el guinardo,Barri,2004,35206
la font den fargues,Barri,2004,9715
el carmel,Barri,2004,32908
la teixonera,Barri,2004,12028
sant genis dels agudells,Barri,2004,7136
montbau,Barri,2004,5309
la vall dhebron,Barri,2004,5710
